"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 11 08:36:46 UTC 2026","Wed Mar 11 08:36:47 UTC 2026","1228","","","","","","shows validation when required fields missing @service @full",""
"passed","Wed Mar 11 08:36:30 UTC 2026","Wed Mar 11 08:36:35 UTC 2026","4482","","","","","","creates a new service and shows it in the list @critical @service @full",""
"passed","Wed Mar 11 08:35:49 UTC 2026","Wed Mar 11 08:35:54 UTC 2026","5628","","","","","","creates a new route and shows it in the list @route @critical @full",""
"passed","Wed Mar 11 08:36:35 UTC 2026","Wed Mar 11 08:36:38 UTC 2026","3086","","","","","","creates a service with both name and tags empty and receives auto-generated name @critical @service @full",""
"passed","Wed Mar 11 08:37:14 UTC 2026","Wed Mar 11 08:37:15 UTC 2026","1120","","","","","","placeholder for update tests @service @full",""
"passed","Wed Mar 11 08:37:04 UTC 2026","Wed Mar 11 08:37:05 UTC 2026","1072","","","","","","validates URL with spaces or control characters @service @full",""
"passed","Wed Mar 11 08:36:20 UTC 2026","Wed Mar 11 08:36:21 UTC 2026","1142","","","","","","placeholder param validation @route @full",""
"passed","Wed Mar 11 08:36:06 UTC 2026","Wed Mar 11 08:36:10 UTC 2026","3979","","","","","","deletes a route from route list in overview page @route @full",""
"passed","Wed Mar 11 08:37:03 UTC 2026","Wed Mar 11 08:37:04 UTC 2026","1644","","","","","","warns or sanitizes forbidden characters in service name @service @full",""
"passed","Wed Mar 11 08:36:13 UTC 2026","Wed Mar 11 08:36:18 UTC 2026","5051","","","","","","prevents duplicate route creation @route @full",""
"passed","Wed Mar 11 08:36:52 UTC 2026","Wed Mar 11 08:37:01 UTC 2026","8792","","","","","","prevents deleting a service that has associated routes @service @full",""
"passed","Wed Mar 11 08:36:47 UTC 2026","Wed Mar 11 08:36:52 UTC 2026","4559","","","","","","prevents duplicate service creation @service @full",""
"passed","Wed Mar 11 08:35:47 UTC 2026","Wed Mar 11 08:35:47 UTC 2026","116","","","","","","generates allure-results artifacts @full",""
"passed","Wed Mar 11 08:35:55 UTC 2026","Wed Mar 11 08:36:04 UTC 2026","9889","","","","","","creates a new route via service details page @route @critical @full",""
"passed","Wed Mar 11 08:37:07 UTC 2026","Wed Mar 11 08:37:12 UTC 2026","5294","","","","","","displays service details correctly after creation @critical @service @full",""
"passed","Wed Mar 11 08:36:28 UTC 2026","Wed Mar 11 08:36:28 UTC 2026","21","","","","","","placeholder for update tests @route @full",""
"passed","Wed Mar 11 08:36:23 UTC 2026","Wed Mar 11 08:36:27 UTC 2026","3475","","","","","","displays route details correctly after creation @route @full",""
"passed","Wed Mar 11 08:36:12 UTC 2026","Wed Mar 11 08:36:13 UTC 2026","1233","","","","","","shows validation when required fields missing @route @full",""
"passed","Wed Mar 11 08:36:40 UTC 2026","Wed Mar 11 08:36:44 UTC 2026","4170","","","","","","deletes a service from its overview view @critical @service @full",""
