"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 11 10:00:06 UTC 2026","Wed Mar 11 10:00:08 UTC 2026","1197","","","","","","shows validation when required fields missing @service @full",""
"passed","Wed Mar 11 10:00:12 UTC 2026","Wed Mar 11 10:00:21 UTC 2026","8806","","","","","","prevents deleting a service that has associated routes @service @full",""
"passed","Wed Mar 11 09:59:15 UTC 2026","Wed Mar 11 09:59:25 UTC 2026","9864","","","","","","creates a new route via service details page @route @critical @full",""
"passed","Wed Mar 11 09:59:51 UTC 2026","Wed Mar 11 09:59:56 UTC 2026","4241","","","","","","creates a new service and shows it in the list @critical @service @full",""
"passed","Wed Mar 11 09:59:33 UTC 2026","Wed Mar 11 09:59:35 UTC 2026","1357","","","","","","shows validation when required fields missing @route @full",""
"passed","Wed Mar 11 09:59:09 UTC 2026","Wed Mar 11 09:59:15 UTC 2026","5803","","","","","","creates a new route and shows it in the list @route @critical @full",""
"passed","Wed Mar 11 09:59:56 UTC 2026","Wed Mar 11 09:59:59 UTC 2026","2775","","","","","","creates a service with both name and tags empty and receives auto-generated name @critical @service @full",""
"passed","Wed Mar 11 10:00:08 UTC 2026","Wed Mar 11 10:00:12 UTC 2026","4704","","","","","","prevents duplicate service creation @service @full",""
"passed","Wed Mar 11 09:59:35 UTC 2026","Wed Mar 11 09:59:39 UTC 2026","4460","","","","","","prevents duplicate route creation @route @full",""
"passed","Wed Mar 11 10:00:28 UTC 2026","Wed Mar 11 10:00:33 UTC 2026","5505","","","","","","displays service details correctly after creation @critical @service @full",""
"passed","Wed Mar 11 09:59:41 UTC 2026","Wed Mar 11 09:59:42 UTC 2026","1201","","","","","","placeholder param validation @route @full",""
"passed","Wed Mar 11 10:00:23 UTC 2026","Wed Mar 11 10:00:25 UTC 2026","1658","","","","","","warns or sanitizes forbidden characters in service name @service @full",""
"passed","Wed Mar 11 09:59:27 UTC 2026","Wed Mar 11 09:59:31 UTC 2026","4198","","","","","","deletes a route from route list in overview page @route @full",""
"passed","Wed Mar 11 10:00:25 UTC 2026","Wed Mar 11 10:00:26 UTC 2026","1118","","","","","","validates URL with spaces or control characters @service @full",""
"passed","Wed Mar 11 09:59:49 UTC 2026","Wed Mar 11 09:59:49 UTC 2026","23","","","","","","placeholder for update tests @route @full",""
"passed","Wed Mar 11 09:59:44 UTC 2026","Wed Mar 11 09:59:47 UTC 2026","3602","","","","","","displays route details correctly after creation @route @full",""
"passed","Wed Mar 11 10:00:00 UTC 2026","Wed Mar 11 10:00:05 UTC 2026","4367","","","","","","deletes a service from its overview view @critical @service @full",""
"passed","Wed Mar 11 10:00:35 UTC 2026","Wed Mar 11 10:00:36 UTC 2026","1187","","","","","","placeholder for update tests @service @full",""
"passed","Wed Mar 11 09:59:07 UTC 2026","Wed Mar 11 09:59:07 UTC 2026","146","","","","","","generates allure-results artifacts @full",""
