"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 08 08:18:26 UTC 2026","Sun Mar 08 08:18:37 UTC 2026","10415","","","","","","validates URL with spaces or control characters",""
"passed","Sun Mar 08 08:13:22 UTC 2026","Sun Mar 08 08:13:22 UTC 2026","244","","","","","","generates allure-results artifacts",""
"failed","Sun Mar 08 08:16:29 UTC 2026","Sun Mar 08 08:16:40 UTC 2026","10429","","","","","","validates URL with spaces or control characters",""
"failed","Sun Mar 08 05:50:01 UTC 2026","Sun Mar 08 05:50:02 UTC 2026","1043","","","","","","validates URL with spaces or control characters",""
"failed","Sun Mar 08 05:48:58 UTC 2026","Sun Mar 08 05:49:01 UTC 2026","2817","","","","","","warns or sanitizes forbidden characters in service name",""
"passed","Sun Mar 08 05:48:38 UTC 2026","Sun Mar 08 05:48:38 UTC 2026","381","","","","","","shows validation when required fields missing",""
"failed","Sun Mar 08 08:15:56 UTC 2026","Sun Mar 08 08:16:07 UTC 2026","10575","","","","","","prevents duplicate service creation",""
"failed","Sun Mar 08 08:18:14 UTC 2026","Sun Mar 08 08:18:26 UTC 2026","11136","","","","","","warns or sanitizes forbidden characters in service name",""
"passed","Sun Mar 08 05:47:59 UTC 2026","Sun Mar 08 05:48:00 UTC 2026","1254","","","","","","cancels add route operation without creating",""
"failed","Sun Mar 08 08:17:40 UTC 2026","Sun Mar 08 08:17:50 UTC 2026","10504","","","","","","deletes a service from its detail view",""
"failed","Sun Mar 08 08:14:50 UTC 2026","Sun Mar 08 08:15:01 UTC 2026","11242","","","","","","creates a new service and shows it in the list",""
"failed","Sun Mar 08 08:14:02 UTC 2026","Sun Mar 08 08:14:12 UTC 2026","10382","","","","","","displays route details correctly after creation",""
"failed","Sun Mar 08 08:13:37 UTC 2026","Sun Mar 08 08:13:47 UTC 2026","10384","","","","","","prevents duplicate route creation",""
"failed","Sun Mar 08 08:16:42 UTC 2026","Sun Mar 08 08:16:54 UTC 2026","11142","","","","","","shows validation when required fields missing",""
